california group sues albertson's over privacy concerns a california-based privacy advocacy group is suing supermarket giant albertson's over alleged privacy violations involving its pharmacy customers.,3,california group sues albertson's over privcay concerns a california-based priavcy advocacy group is suing supermarket giant albertson's over alleged privacy violations involving its pharmacy customers.,2
closing ceremonies host city athens bid a final farewell to the athletes and guests of the 2004 summer games with a spectacular party under a full moon.,1,closing ceremonies hsot city athesn bid a final farewell to the athletes and guests of the 2004 summer games with a spectacular party under a full moon.,0
"siemens in 2.69bn deal with bbc german industrial giant siemens has signed a 2.69bn contract to deliver technology services around the world to the bbc, a deal that will see it acquire the broadcasters technology subsidiary.",3,"siemens in 2.69bn deal with bbc geramn industrial giant siemens has signed a 2.69bn contract to deliver tecnhology services around the world to the bbc, a deal that will see it acquire the broadcasters technology subsidiary.",2
"steal spongebob, buy a pc museum we've got two more entries this week in the category of ""what weird, useless stuff is for sale on ebay that i just have to have?""",3,"steal spongebob, buy a cp museum we've got two more entries this week in the category of ""what weird, useless stuff is for sale on eaby that i just have to have?""",2
"in taipei, talk of arms -- and amity premier yu shyi-kun hopes economic ties to the mainland will guarantee peace. if not,  quot;taiwan has to have to ability to defend itself quot;.",2,"in taipei, talk of arms -- and amity premier yu shyi-kun hopes eocnomic ties to the mainland will guarantee peace. if not,  quto;taiwan has to have to ability to defend itself quot;.",0
"card fraud unit nets 36,000 cards in its first two years, the uk's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",3,"crad fraud unit nets 36,000 cards in its first two years, the uk's dedicated crad fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",2
the great vegetarian scam ive written before about my struggle to remain a vegetarian on tuesday - when i abjure meat for religious reasons -hile travelling.,0,the great vegetarian scam ive rwitten before about my struggle to remain a vegetarian on tuesday - when i abjure meat for reilgious reasons -hile travelling.,3
"hurricane center #39;s projection on charley not far off, data show fort lauderdale, fla. - (krt) - despite criticism that it should have better anticipated hurricane charley #39;s rapid intensification and quick turn, the national hurricane center #39;s forecast wasn #39;t that far off, a preliminary post-mortem shows. ",2,"hurricane center #39;s projection no chalrey not far off, data show fort lauderdale, fla. - (krt) - despite criticism that it should have better anticipated hurricane charley #39;s rapid intensification and quick turn, the national hurricane center #39;s forecast wasn #39;t that far off, a preliminary post-mortem shows. ",3
"will itunes ever make a lot of money for apple? on its latest earnings call (7/14/04), a question was asked about the profitability of itunes, and management responded by stating that it made just a small profit.",3,"will ituens ever make a lot of money for appel? on its latest earnings call (7/14/04), a question was asked about the profitability of itunes, and management responded by stating that it made just a small profit.",2
"us may have new case of mad cow disease  washington (reuters) - a final test is likely to confirm a  second u.s. case of mad cow disease, experts said on thursday,  though they see a small possibility the animal, which tested  ""inconclusive"" in two preliminary tests, could be given a clean  bill of health.",2,"us may have new case of mad cow disease  washingtno (reuetrs) - a final test is likely to confirm a  second u.s. case of mad cow disease, experts said on thursday,  though they see a small possibility the animal, which tested  ""inconclusive"" in two preliminary tests, could be given a clean  bill of health.",3
