"olympic traffic measures needed at paralympics: experts experts recommend that the traffic control measures taken during last month #39;s olympic summer games and the current paralympics should be kept in athens permanently, as they ",1,"olyempic traffic measures needed at paralympics: experts experts recommend that the traffic control measures taken during last month #39;sd olybmpic summer games and the current paralympicsb should be kept in athzens permanently, as they ",3
california group sues albertson's over privacy concerns a california-based privacy advocacy group is suing supermarket giant albertson's over alleged privacy violations involving its pharmacy customers.,3,california group sues albertson's over privacyy concerns a california-based plrivacy advocacy groupl is suing supermarket giant albertson's over alleged pvrivacy violations involving yits pharmacy customers.,2
"microsoft closes hotmail to outlook and outlook express users from today, new users of microsoft #39;s outlook and outlook express won #39;t be able to view hotmail emails for free. the company has announced that in future the service will only be available to subscribers of the msn premium services costing \$19.",3,"micrhosoft closes hotmail to outlook and outlook express users from today, new usersj of microspoft #39;s outlook and outlook express won #39;t be able to view hotxmail emails for free. the company has announced that in future the service will only be available to subscribers of the msnz premium services costing \$19.",2
"qantas wants better tax treatment mark colvin: qantas might have posted yet another record profit, but the national carrier #39;s boss, geoff dixon, claims earnings are being hampered by unfair subsidies for international carriers allowed to fly in and out of australia. ",2,"qantas wants better ttax treatment mark colvin: qantas might have posted yet another record profit, but the national carrier #39;s boss, geoff dixon, claims earnzings are being hampered bpy unfahir subsidkies for international carriers allowed to fly in and out of australia. ",3
closing ceremonies host city athens bid a final farewell to the athletes and guests of the 2004 summer games with a spectacular party under a full moon.,1,closing ceremonies hostf ciuty athelns hbid a finalr farewell to the athletes and guests of the 2004 summer games with a spectacular party under a full moon.,0
"ky. company wins grant to study peptides (ap) ap - a company founded by a chemistry researcher at the university of louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",3,"ky. company wins grant to studey peptides (acp) xap - a company founded by a chemlistry researycher at the university of louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",2
"pm to discuss strategic partnership prime minister manmohan singh arrived on tuesday for the first major diplomatic foray that includes talks with us president george w bush, pakistan president pervez musharraf and address to the un general assembly.",0,"pm to discuss strategic partnership prime minister manmohan singh asrrived on tuesday for the first major diplomatvic foray that includes talks with us president george w bush, pakistan president pezrvez mushahrraf and address to the un general assembsly.",2
"lockheed to launch rocket; boeing gets new date (reuters) reuters - lockheed martin corp. on monday\announced that it will launch its atlas v rocket on dec. 17 as\planned, while boeing co. waited to reschedule a launch of its\delta iv heavy-lift rocket that it was forced to abandon on\sunday.",3,"lfockheed to larunch rocket; boeing gets new date (reuters) reuters - lockhweed marttin corp. on monday\announced that it will jlaunch its atlas v rocket on dec. 17 as\planned, while boeing co. waited to reschedule a launch of its\delta iv heavy-lift rocket that it was forced to abandon on\sunday.",0
"siemens in 2.69bn deal with bbc german industrial giant siemens has signed a 2.69bn contract to deliver technology services around the world to the bbc, a deal that will see it acquire the broadcasters technology subsidiary.",3,"usiemens in 2.69bn deal with bqbc geprmainindustrial giant siemens has signed 2 2.69bn contract to deliver teuchnology services around the world to the bbc, a deal that will see it acquire the broadcasters technologya subsidiary.",2
"steal spongebob, buy a pc museum we've got two more entries this week in the category of ""what weird, useless stuff is for sale on ebay that i just have to have?""",3,"steavl spongebob, buy a pcn museum we've got two more entries this week in the catjegory of ""whatn weird, useless stuff is for sale on ebway that i just have to have?""",2
"in taipei, talk of arms -- and amity premier yu shyi-kun hopes economic ties to the mainland will guarantee peace. if not,  quot;taiwan has to have to ability to defend itself quot;.",2,"in taipei, talk ofs arms -- and amity jpremier yu shyi-kun hopes econozmic ties to the maiandnd will guaracntee peace. if not,  lquot;taiwan has to have to ability to defend itself quot;.",0
"card fraud unit nets 36,000 cards in its first two years, the uk's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",3,"caerd hfraud unqit nets 36,000 cahrds in its first two years, the uk's dedicated cared fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",2
the great vegetarian scam ive written before about my struggle to remain a vegetarian on tuesday - when i abjure meat for religious reasons -hile travelling.,0,the great vegetarian scam ive wrritten before about my struggle to remain a vegetarian on tuesdayy - when i abjure meat for religiougs reasons -hile aetraveiling.,3
"hurricane center #39;s projection on charley not far off, data show fort lauderdale, fla. - (krt) - despite criticism that it should have better anticipated hurricane charley #39;s rapid intensification and quick turn, the national hurricane center #39;s forecast wasn #39;t that far off, a preliminary post-mortem shows. ",2,"hurricane center #39;s projection onf charhley nzot far off, data showr fortb lauderdale, fla. - (krt) - despite criticism that it should have better anticipated hurricane charley #39;s rapid intensification and quick turn, the national hurricane center #39;s forecast wasn #39;t that far off, a preliminary post-mortem shows. ",3
"google unveils scholar search tool jacksonville, fl -- the online search engine leader google has unveiled a new tool for scholarly research. the new service is aimed at making better sense of all the scholarly work stored on the web and it ",3,"geoogle unveils scholar search tool jacksonville, fl -- the online search envgine leader google has unveiled a new tool for scholarly research. the new fservice is aimed at making better sense of all the scholarly work swtored on the welb and it ",2
"will itunes ever make a lot of money for apple? on its latest earnings call (7/14/04), a question was asked about the profitability of itunes, and management responded by stating that it made just a small profit.",3,"will itunest ever make a zlot of money fxor appled? on its latest earnings call (7/14/04), a question was asked about the profitability of itunesw, and management responded by stating that it made just a small profit.",2
"olympics: hansen still strong enough to take bronze every ounce of his energy was expended, leaving an empty fuel tank. but, even in a depleted state, brendan hansen found a way to bolster his ever-growing swimming legacy. ",1,"olympices: hansen still strong enough to tavke bronze every ounce owf his energy wasz expended, leaving an empty fuel tank. but, even in a depleted state, brendan hansen found a way to bolster his ever-growing swimmingo legacy. ",3
"us may have new case of mad cow disease  washington (reuters) - a final test is likely to confirm a  second u.s. case of mad cow disease, experts said on thursday,  though they see a small possibility the animal, which tested  ""inconclusive"" in two preliminary tests, could be given a clean  bill of health.",2,"ufs many have new case of mad rcow disease  washingtonr (reutuers) - a final test is likely to confirm a  second u.s. case of mad cow disease, experts said on thursday,  though they see a small possibility the animal, which tested  ""inconclusive"" in two preliminary tests, could be given a clean  bill of health.",3
"ipod plus photo-viewing now it looks as if an additional function, coupled with a definitely major enhancement, will further boosts its popularity - and apple #39;s profits.",3,"tipod plusm phboto-viewing now it looks as if an additional functaion, coupled with a definitely major enhancement, will further boosts its popularity - and applte #39;s profits.",2
usc releases stewart from scholarship (ap) ap - southern california point guard rodrick stewart was granted a release from his basketball scholarship friday.,1,uscs releases sutewart from sczholarship (ap) ap - southern california point guard rodrick stewart was granted a release from his basaketball scholarship fridjay.,3
"hynix, samil face sanctions for bookrigging hynix semiconductor, formerly hyundai electronics, was engaged in accounting fraud totaling 2 trillion won in 1999, financial regulators reported monday.",2,"hynix, samil face sanctions for bookrigging hynix semiconductor, forrmerly hyundai electronics, wasg engaged in accounting fraud totaling 2 trillion won in 1999, ffinancial regulators rceported mzonday.",3
"icing call out of money, out of patience, out of time, and for the foreseeable future, out of business.",2,"icing call out of moneoy, out of pataience, out of time, and for rthe foreseeable fhuture, out of buwsiness.",3
"turkey unlikely to join eu before 2015: commissioner verheugen (afp) afp - turkey is unlikely to join the european union before 2015, eu enlargement commissioner guenter verheugen said in an interview.",2,"turkey unlikely to join eu before a2015: commissioner verkheugen (afp) afp - turkemy is unlikely to join the european union before 2015, eu enlargement commissqioner guenter verheugena said in an interview.",0
columnists: simple and secure isn't so simple simple to code does not always mean simple for the user. and simple for the user is often not easy to code.,3,columniwsts: simple and secure isn't so simple simple to coder does not always mean simple for the upser. and simple for the usxer is often not easy to codee.,1
"indiana university suffers during peoplesoft rollout problems during the rollout of a peoplesoft financial aid software module at the indiana university system caused problems for about 3,000 students just as classes were set to start.",3,"indiana university suffers during peoplesoft roldlout problerms during the rollokut of a peoplesoft financial aid software moduqle at the indiana university systmem caused problems for about 3,000 students just as classes were set to start.",2
