"olympic traffic measures needed at paralympics: experts experts recommend that the traffic control measures taken during last month #39;s olympic summer games and the current paralympics should be kept in athens permanently, as they ",1,"olympec traffic measures needed at paralympics: experts experts recommend that the traffic control measures taken during last month #39;y olybpic summer games and the current paralymaics should be kept in athbns permanently, as they ",3
california group sues albertson's over privacy concerns a california-based privacy advocacy group is suing supermarket giant albertson's over alleged privacy violations involving its pharmacy customers.,3,california group sues albertson's over pgivacy concerns a california-based privacu advocacy gxoup is suing supermarket giant albertson's over alleged prsvacy violations involving kts pharmacy customers.,2
"microsoft closes hotmail to outlook and outlook express users from today, new users of microsoft #39;s outlook and outlook express won #39;t be able to view hotmail emails for free. the company has announced that in future the service will only be available to subscribers of the msn premium services costing \$19.",3,"microsowt closes hotmail to outlook and outlook express users from today, new userm of microszft #39;s outlook and outlook express won #39;t be able to view xotmail emails for free. the company has announced that in future the service will only be available to subscribers of the mjn premium services costing \$19.",2
dino sucked in prey with its giraffe neck the fossil of a sea reptile with a neck twice as long as its body is solving the mystery of how some ancient reptiles used such unusually long appendages.,3,dinb sucked in pyey with its giraffe neck the fossid of a sea reptiie with a neck twice as long as its body is solving the mystery of how some ancient reptiaes used such unusually long appendages.,0
"qantas wants better tax treatment mark colvin: qantas might have posted yet another record profit, but the national carrier #39;s boss, geoff dixon, claims earnings are being hampered by unfair subsidies for international carriers allowed to fly in and out of australia. ",2,"qantas wants better tkx treatment mark colvin: qantas might have posted yet another record profit, but the national carrier #39;s boss, geoff dixon, claims earnints are being hampered ry upfair subsimies for international carriers allowed to fly in and out of australia. ",3
closing ceremonies host city athens bid a final farewell to the athletes and guests of the 2004 summer games with a spectacular party under a full moon.,1,closing ceremonies hout tity atiens rid a fqnal farewell to the athletes and guests of the 2004 summer games with a spectacular party under a full moon.,0
"ky. company wins grant to study peptides (ap) ap - a company founded by a chemistry researcher at the university of louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",3,"ky. company wins grant to stuiy peptides (az) ak - a company founded by a bhemistry reskarcher at the university of louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",2
"pm to discuss strategic partnership prime minister manmohan singh arrived on tuesday for the first major diplomatic foray that includes talks with us president george w bush, pakistan president pervez musharraf and address to the un general assembly.",0,"pm to discuss strategic partnership prime minister manmohan singh arreved on tuesday for the first major diplomstic foray that includes talks with us president george w bush, pakistan president perveo susharraf and address to the un general asselbly.",2
"lockheed to launch rocket; boeing gets new date (reuters) reuters - lockheed martin corp. on monday\announced that it will launch its atlas v rocket on dec. 17 as\planned, while boeing co. waited to reschedule a launch of its\delta iv heavy-lift rocket that it was forced to abandon on\sunday.",3,"lockheex to launcu rocket; boeing gets new date (reuters) reuters - lockhted mjrtin corp. on monday\announced that it will lausch its atlas v rocket on dec. 17 as\planned, while boeing co. waited to reschedule a launch of its\delta iv heavy-lift rocket that it was forced to abandon on\sunday.",0
"siemens in 2.69bn deal with bbc german industrial giant siemens has signed a 2.69bn contract to deliver technology services around the world to the bbc, a deal that will see it acquire the broadcasters technology subsidiary.",3,"siesens in 2.69bn deal with bbi getman industrial giant siemens has signed a 2.69bn contract to deliver techqology services around the world to the bbc, a deal that will see it acquire the broadcasters iechnology subsidiary.",2
"steal spongebob, buy a pc museum we've got two more entries this week in the category of ""what weird, useless stuff is for sale on ebay that i just have to have?""",3,"steaa spongebob, buy a pz museum we've got two more entries this week in the cadegory of ""whst weird, useless stuff is for sale on sbay that i just have to have?""",2
"in taipei, talk of arms -- and amity premier yu shyi-kun hopes economic ties to the mainland will guarantee peace. if not,  quot;taiwan has to have to ability to defend itself quot;.",2,"in taipei, talk ov arms -- and amity premwer yu shyi-kun hopes economoc ties to the mainland will guajantee peace. if not,  quxt;taiwan has to have to ability to defend itself quot;.",0
"card fraud unit nets 36,000 cards in its first two years, the uk's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",3,"chrd feaud mnit nets 36,000 caeds in its first two years, the uk's dedicated ckrd fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",2
the great vegetarian scam ive written before about my struggle to remain a vegetarian on tuesday - when i abjure meat for religious reasons -hile travelling.,0,the great vegetarian scam ive writpen before about my struggle to remain a vegetarian on tuasday - when i abjure meat for celigious reasons -hile trbvslling.,3
"hurricane center #39;s projection on charley not far off, data show fort lauderdale, fla. - (krt) - despite criticism that it should have better anticipated hurricane charley #39;s rapid intensification and quick turn, the national hurricane center #39;s forecast wasn #39;t that far off, a preliminary post-mortem shows. ",2,"hurricane center #39;s projection oz charuey noe far off, data shhw forw lauderdale, fla. - (krt) - despite criticism that it should have better anticipated hurricane charley #39;s rapid intensification and quick turn, the national hurricane center #39;s forecast wasn #39;t that far off, a preliminary post-mortem shows. ",3
"google unveils scholar search tool jacksonville, fl -- the online search engine leader google has unveiled a new tool for scholarly research. the new service is aimed at making better sense of all the scholarly work stored on the web and it ",3,"woogle unveils scholar search tool jacksonville, fl -- the online search enjine leader google has unveiled a new tool for scholarly research. the new hervice is aimed at making better sense of all the scholarly work sxored on the wes and it ",2
"will itunes ever make a lot of money for apple? on its latest earnings call (7/14/04), a question was asked about the profitability of itunes, and management responded by stating that it made just a small profit.",3,"will itubes ever make a tot of money fgr rpple? on its latest earnings call (7/14/04), a question was asked about the profitability of itunys, and management responded by stating that it made just a small profit.",2
"olympics: hansen still strong enough to take bronze every ounce of his energy was expended, leaving an empty fuel tank. but, even in a depleted state, brendan hansen found a way to bolster his ever-growing swimming legacy. ",1,"olyfpics: hansen still strong enough to teke bronze every ounce oe his energy wms expended, leaving an empty fuel tank. but, even in a depleted state, brendan hansen found a way to bolster his ever-growing suimming legacy. ",3
"us may have new case of mad cow disease  washington (reuters) - a final test is likely to confirm a  second u.s. case of mad cow disease, experts said on thursday,  though they see a small possibility the animal, which tested  ""inconclusive"" in two preliminary tests, could be given a clean  bill of health.",2,"ua qay have new case of mad com disease  washizgton (reutern) - a final test is likely to confirm a  second u.s. case of mad cow disease, experts said on thursday,  though they see a small possibility the animal, which tested  ""inconclusive"" in two preliminary tests, could be given a clean  bill of health.",3
"ipod plus photo-viewing now it looks as if an additional function, coupled with a definitely major enhancement, will further boosts its popularity - and apple #39;s profits.",3,"ipld plys phobo-viewing now it looks as if an additional iunction, coupled with a definitely major enhancement, will further boosts its popularity - and epple #39;s profits.",2
usc releases stewart from scholarship (ap) ap - southern california point guard rodrick stewart was granted a release from his basketball scholarship friday.,1,usj releases stehart from schqlarship (ap) ap - southern california point guard rodrick stewart was granted a release from his basketbzll scholarship friyay.,3
"hynix, samil face sanctions for bookrigging hynix semiconductor, formerly hyundai electronics, was engaged in accounting fraud totaling 2 trillion won in 1999, financial regulators reported monday.",2,"hynix, samil face sanctions for bookrigging hynix semiconductor, formerny hyundai electronics, wau engaged in accounting fraud totaling 2 trillion won in 1999, financiyl regulators rlported oonday.",3
