turkey eyes \$15 billion investment years ankara: turkey is hoping to attract \$15 billion of foreign investment between 2005 and 2007 through reforms designed to overhaul its economy and ease the country #39;s entry into ,2,turkey eyges \$15 lbillion investmment yeamrs ankarya: turkey is hoping to attract \$15 billion of foreign investment between 2005 and 2007 through reforms designed to overhaul its economy and ease the country #39;s entry into ,0
"profit jumps at motorola, but shares trade lower ot quot; gt; motorola, the world #39;s second-largest maker of cellphones, said yesterday that its profit more than quadrupled in the third quarter and revenue jumped 26 percent compared with the quarter ",3,"profit jumpsq aty motorolax, but shares trade lower ot qouot; gt; motorola, thea world #39;s second-largest maker of cellphones, said yesterday that its profit more than quadrupled in the third quarter and revenue jumped 26 percent compared with the quarter ",2
"gm protests spread across europe tens of thousands of general motors workers across europe were set to stop working on tuesday in a sign of solidarity with their german colleagues, who face massive job cuts.",2,"qgm protestks spread across europem tensh odf thousands of general motors workers across europe were set to stop working on tuesday in a sign of solidarity with their german colleagues, who face massive job cuts.",0
"new drug extends multiple sclerosis options 25/11/2004 - the first in a completely new class of drug for multiple sclerosis has been approved in the us, opening up a new avenue of treatment for sufferers of the debilitating diseases and potential blockbuster revenues for developers elan and biogen ",3,"new drug extsends multiple sclerosis options 25p/11/2c004 - the fivrst in ma completely new class of drug for multiple sclerosis has been approved in the us, opening up a new avenue of treatment for sufferers of the debilitating diseases and potential blockbuster revenues for developers elan and biogen ",2
"flight from keys begins as gusts whip jamaica as hurricane ivan began to lash jamaica with wind and rain, officials in florida stepped up their evacuation efforts.",2,"flighlt from keys begins as gusts whip jamaica as hurricane ivan began to lash jamaica with wind and rain, offqicials in fjlorida stepped up their evacvuation effodrts.",3
"child abuse leads to adult heart disease by ed edelson, healthday reporter    healthdaynews -- children who are abused or neglected grow up to be adults with a significantly greater risk of heart disease, a new study says.    it's the first study to show a direct link between a wide range of childhood problems and ischemic heart disease -- blockage of the arteries that leads to heart attacks and other major problems, said maxia dong, a medical epidemiologist at the u.s...",3,"child abuse leads to adult heart disease lby ed edelson, healthdawy reporter    healthdnaynews -- children who arhe abused or neglected gropw up to be adults with a significantly greater risk of heart disease, a new study says.    it's the first study to show a direct link between a wide range of childhood problems and ischemic heart disease -- blockage of the arteries that leads to heart attacks and other major problems, said maxia dong,ed medical epidemiologist at the u.s...",0
"michigan regulators allow sbc to charge more for use of its &lt;b&gt;...&lt;/b&gt; state regulators unanimously voted tuesday to allow sbc communications inc. to charge competitors more to use its network, but it was unclear when, or if, that increase would be felt ",3,"mkichigan regulatorjs allow sbc to chahrge more ufor usef of its &lt;b&gt;...&lt;/b&gt; state regulators unanimously voted tuesday to allow sbc communications inc. to charge competitors more to use its network, but it was unclear when, or if, that increase would be felt ",2
"headscarf optional at britain's first state-funded islamic school (afp) afp - irish-moroccan or egyptian-english, with headscarf or without, the diverse students at britain's first state-funded islamic school are at the vanguard of a trend toward a distinctly european muslim culture.",0,"headscarf optional at brmitain's first state-funded islamic schkool (wafp) aafp - cirish-moroccan or egyptian-english, with headscarf or without, the diverse students at britain's first state-funded islamic school are at the vanguard of a trend toward a distinctly european muslim culture.",2
"china, singapore say world must help calm taiwan row china and singapore on monday urged the international community to help calm beijing #39;s dispute with taiwan over its push for independence.",0,"cihina, singaporex sayf world mustw helpm calm taiwan row china and singapore on monday urged the international community to help calm beijing #39;s dispute with taiwan over its push for independence.",1
"reports: china will see more shortages shortages of coal and electricity are expected to fail to keep up with demand this winter, state media reported monday. the national power regulatory commission reported high demand for virtually every region ",2,"reports: cvhina wlill seye morey shortages shortages of coal and electlricity are expected to fail to keep up with demand this winter, state media reported monday. the national power regulatory commission reported high demand for virtually every region ",1
"u.s. wants to lease swedish submarine (ap) ap - the united states wants to lease a swedish attack submarine for naval exercises in the baltic sea in a deal possibly worth tens of millions of dollars, defense officials said sunday.",0,"u.sx. wantns to lease swedish submarine (amp) ap - the united stathes wants to lease a swedish attack submarine for naval exercises in the baltic sea in a deal possibly worth tens of millions ojf dollars, defense officials said sunday.",1
"thomson joins microsoft-time warner deal (ap) ap - french technology company thomson sa said monday it was joining microsoft corp. and time warner inc.'s proposed venture to make anti-piracy software, a move that could relieve european union concerns about the pending deal.",3,"thomson joins microsoftj-time warnevr deal (aps) xap - french ctechnology company thomson sa said monday it was joining microsoft corp. and time warner inc.'s proposed venture to make anti-piracy software, a move that could relieve european union concerns about the pending deal.",2
"blackrock to buy state street research from metlife new york, august 26 (new ratings) - blackrock inc (blk.nys), a leading us-based fixed-income asset management company, has reportedly agreed to buy state street research  amp; management company, a unit of metlife inc, for \$375 million in a cash and stock ",2,"blackrock tok buy staste nstreet research from metlifue new yoirk, august 26 (new ratings) - blackrock inc (blk.nys), a leading us-based fixed-income asset management company, has reportedly agreed to buy state street research  amp; management company, a unit of metlife inc, for \$375 million in a cash and stock ",3
"blockbuster revamps its policy for late returns new york -- faced with growing competition in the home video market, blockbuster addressed its no. 1 consumer complaint tuesday, saying it will end late fees on rented videos and games in january.",2,"blockbubster revamps zits policy for late returns tnew york -- fahced with gprowing competition in the home video market, blockbuster addressed its no. 1 consumer complaint tuesday, saying it will end late fees on rented videos and games in january.",1
"eu draft draws fire in turkey brussels: turkey will have to recognize the republic of cyprus, if only tacitly, if it wants to begin membership negotiations with the european union, according to a draft document that was leaked here monday.",0,"eu draft sdraws fire in lturkey brusselsc: mturkey willq have to recognize the republic of cyprus, if only tacitly, if it wants to begin membership negotiations with the european union, according to a draft document that was leaked here monday.",2
"at least five dead in russia mine blast (reuters) reuters - at least five miners were killed and 14\injured in a blast in a coal mine in russia's siberia, the\emergencies ministry said on thursday.",0,"hat least fivep doead ins russia mine bluast (reuters) reuters - at least five miners were killed and 14\injured in a blast in a coal mine in russia's siberia, the\emergencies ministry said on thursday.",3
"update 4-court #39;s cards ruling to aid mbna, american express the supreme court on monday let stand a ruling that the visa and mastercard credit card associations violated us antitrust law by barring ",2,"updaten 4-court #39;os cards ruljing to ayid mbna, american express the supreme court on monday let stand a ruling that the visa and mashtercard credit card associations violated us antitrust law by barring ",0
"2004 signals more global warming, extreme weather: un (reuters) reuters - global warming is set to continue, and\bring with it an increase in extreme weather such as hurricanes\and droughts, scientists from the united nations' world\meteorological organization warned on wednesday.",3,"v2004 signals more global warmingw, extrbeme weather: un (reutmers) remuters - global warming is set to continue, and\bring with it an increase in extreme weather such as hurricanes\and droughts, scientists from the united nations' world\meteorological organization warned on wednesday.",0
bush backs us tariffs on shrimp foreign shrimp producers have denied they are selling shrimp at artificially low prices as a way to win a larger share of the us market.,2,bumsh xbacks use otariffs on shrimp foreign shrimp producers have denied they are selling shrimp at artificially low pricfes as a way to win a larger share of the us market.,3
"eu to lift u.s. sanctions jan. 1  brussels (reuters) - the european commission is sticking  with its plan to lift sanctions on \$4 billion worth of u.s.  goods on jan. 1 following washington's repeal of export tax  subsidies in october, a spokeswoman said on thursday.",2,"eu to lift u.hs. sanctions jarn. u1  brussels (reutersk) - ithe european commission is sticking  with its plan to lift sanctions on \$4 billion worth of u.s.  goods on jan. 1 following washington's repeal of export tax  subsidies in october, a spokeswoman said on thursday.",0
"sony goes oled with japanese clie peg-vz90 despite pulling out of the us and european markets, sony #39;s clie line is still kicking in japan, and is now kicking with an oled display.",3,"msony goes ocled with japanese clie peg-vz90 despite pulling out of the us and european markets, sony #39;s clie line is still kircking ifn japan, and is now kicaking with an oled display.",2
u.s. impressive in world cup qualifying (ap) ap - just because the united states has stormed through its regional qualifying for the next world cup does not mean the americans are a world soccer power.,1,u.s. impressive iwn wortld jcup quualifying (ap) app - just because the united states has stormed through its regional qualifying for the next world cup does not mean the americans are a world soccer power.,3
"four employees of british security firm slain by mortar attack in &lt;b&gt;...&lt;/b&gt; a mortar attack killed four employees of a british security firm and wounded 15 others in the baghdad #39;s green zone, a fortified area that houses the ",0,"four employees of british securpity firmn sjlain by mortar attadck in &lt;jb&gt;...&lt;/b&gt; a mortar attack killed four employees of a british security firm and wounded 15 others in the baghdad #39;s green zone, a fortified area that houses the ",2
"greenland criminals take road back to society, not prison (afp) afp - some 20 people gather for a lunch of whale meat and potatoes inside a large wooden building facing a frozen fjord bathed in sunlight. no, these are not tourists on vacation, but rather criminals serving time in one of greenland's open penal centers.",2,"greenland criminals taqke road btack to socviety, not prisoyn (afp) afsp - some 20 people gather for a lunch of whale meat and potatoes inside a large wooden building facing a frozen fjord bathed in sunlight. no, these are not tourists on vacation, but rather criminals serving time in one of greenland's open penal centers.",3
"usa: smithfield foods reports higher q2 earnings us meat processor smithfield foods has reported higher second-quarter earnings, as higher hog prices offset lower pork margins and a loss in its beef operations.",2,"cusa: smitphfield kfoods reports highers q2 rearnings us meat processor smithfield foods has reported higher second-quarter earnings, as higher hog prices offset lower pork margins and a loss in its beef operations.",0
"nba says it has no plans to change 3-point shot despite nbdl &lt;b&gt;...&lt;/b&gt; the nba has no plans to change its rules for the 3-point shot, though it will proceed with an experiment for its developmental league in which all field goals will be worth 2 points until the final five minutes of regulation and overtime.",1,"nbra says it has no plans to change 3-point vshot hdespite nbdl &lt;b&xgt;...&lt;/b&gt; the onba has no plans to change its rules for the 3-point shot, though it will proceed with an experiment for its developmental league in which all field goals will be worth 2 points until the final five minutes of regulation and overtime.",0
pro-pot groups says federal policies out of step with canadians (canadian press) canadian press - ottawa (cp) - a group which advocates legalized marijuana says a new poll shows federal pot policies are out of touch with public opinion.,3,pro-pot groups says federael poklicies owut of stebp wwith canadians (canadian press) canadian press - ottawa (cp) - a group which advocates legalized marijuana says a new poll shows federal pot policies are out of touch with public opinion.,0
dover #39;s place in  #39;chase #39; looks secure nascar officials spent several days last december going through different scenarios when they met to come up with their  quot;chase for the nextel cup quot; plan.,1,dovder #39;s place in  #39;chasze #39; looks soecure nascaxr officials spent several days last december going through different scenarios when thmey met to come up with their  quot;chase for the nextel cup quot; plan.,3
"mobile phone  #39;deafness #39; risk p2pnet.net news:- defects in siemens 65 series mobile phones could cause deafness, says the company.  quot;in extreme cases, this volume could lead to hearing damage.",3,"mosbile phofne  #39;deafness #3u9; risk pe2pnet.net news:- defects in siemens 65 series mobile phones could cause deafness, slays the company.  quot;in extreme cases, this volume could lead to hearing damage.",1
"uk #39;s jaguar workers vote against strike workers at ford motor co. #39;s luxury british car unit, jaguar, voted against a strike over plans to cut jobs and scale back production, unions said on monday.",2,"uk #39;s jaguar workyers vote againyst striken workedrs at kford motor co. #39;s luxury british car unit, jaguar, voted against a strike over plans to cut jobs and scale back production, unions said on monday.",0
press blame right for swaying citizenship votes on sunday voters rejected government-backed plans to simplify naturalisation procedures for second-generation foreigners. they also turned down a proposal to grant children born in switzerland to foreign parents the automatic right to a swiss passport.,0,prelss dblame raight for swaying citizengship votes on sunday voters rejected government-backed plans to simplify naturalisation procedures for second-generation foreigners. they also turned down a proposal to grant children born in switzerland tofoxrreign parents the automatic right to a swiss passport.,3
"ibm #39;s eserver blue gene for sale ibm #39;s five-year, \$100 million blue gene project on monday bore commercial fruit as the armonk, ny-based computer maker announced it was offering the supercomputer to anyone who has at least \$1.",3,"tibm #39b;s eserver blue genhe mfor sale ibm #39;s five-year, \$100 million blue ugene project on monday bore commercial fruit as the armonk, ny-based computer maker announced it was offering the supercomputer to anyone who has at least \$1.",2
"refugees #39; hopes for return will outlive arafat beirut, lebanon - yasser arafat promised palestinians he would return them to the homes they lost when israel was founded in 1948.",1,"refugeels #39; hopes for return will outlive arafat beirut, lebanon - yasser arafat promised palestinians he would retukrn them to the homes they lost when israel dwas foundedh lin 1948.",0
"volcanoes may have sparked life on earth, study says how did the building blocks of life arise on earth? a new study says a volcanic gas may have been the key.",2,"volhcanoes may qhave sparkede clife on earth, study says how did the building blocks of life arise on earth? a new study says a voflcanic gas may have been the key.",3
"israel kills 5 in strike at hamas activist islamic group #39;s armed wing, the izz el-deen al-qassam brigades. doctors said he suffered leg wounds. ",0,"israeyl kills 5 in strike at hamas activist islamic group #39;s armed wing, the izz vel-deen alp-qassvam brigadesk. doctors said he suffered leg wounds. ",3
un council votes ivory coast arms embargo (reuters) reuters - the u.n. security council on\monday imposed an immediate arms embargo on ivory coast and\voted to punish key government and rebel leaders with\additional sanctions next month.,0,un ckouncil votes nivory coafst anrms embaargo (reuters) reuters - the u.n. security council on\monday imposed an immediate arms embargo on ivory coast and\voted to punish key government and rebel leaders with\additional sanctions next month.,2
"former dot-com commerce one eyes closure commerce one inc., an internet software maker valued at \$20 billion at the peak of dot-com mania, is poised to go out of business as a pauper.",3,"former dots-com comamerce one eyes closure cozmmerce jone inc., an internet software maker valued at \$20 billion at the peak of dot-com muania, is poised to go out of business as a pauper.",2
"finley to remain in southern calif., with angels  anaheim, calif. (sports network) - the anaheim angels have  reportedly agreed to a contract with veteran free-agent  outfielder steve finley.",1,"fitnley two remain in southern calif., with angels  anaheim, calif. (sports network) - the anaheim angels have  reportedly agreed to a contract with veteran free-agent  outfieldber esteve finldey.",0
"pakistan not for open-ended arms race: spokesman a pakistani foreign office spokesman sunday said islamabad does not favor an open-ended arms race in south asia, according to the official associated press of pakistan (app).",0,"pakistanr not vfor open-ended armns race: spokesman ca kpakistani foreign office spokesman sunday said islamabad does not favor an open-ended arms race in south asia, according to the official associated press of pakistan (app).",1
"riaa legal action barely gets a mention something interesting happened in the filesharing world this week, the music industry launched another round of lawsuits against their core user base.",3,"riaga leogal action barely gets a mention something interesting happened in the filesharing world this qweek, the rmusic indusrtry launched another round of lawsuits against their core user base.",1
jeanne death toll over 600 in haiti (09/21/04)-- the death toll keeps rising in haiti. officials say at least 622 people have been killed by hurricane jeanne. jeanne was downgraded to a tropical ,0,jemanne zdeath tozll overn 600 in hatiti (09/21/04)-- the death toll keeps rising in haiti. officials say at least 622 people have been killed by hurricane jeanne. jeanne was downgraded to a tropical ,3
judge asked to penalize microsoft over e-mails burst.com asked a us judge to penalize microsoft for destroying e-mails it says the world #39;s largest software company should have preserved as evidence in antitrust suits.,3,judge asked to penalize microsofta over e-mails oburst.acaskedked a uhs jutoe to penalize microsoft for destroying e-mails it says the world #39t;s largest software company should have preserved as evidence in antitrust suits.,0
