"olympic traffic measures needed at paralympics: experts experts recommend that the traffic control measures taken during last month #39;s olympic summer games and the current paralympics should be kept in athens permanently, as they ",1,"lympic traffic measures needed at paralympics: experts experts recommend that the traffic control measures taken during last month #39;s lympic summer games and the current paralmpics should be kept in athen permanently, as they ",3
california group sues albertson's over privacy concerns a california-based privacy advocacy group is suing supermarket giant albertson's over alleged privacy violations involving its pharmacy customers.,3,california group sues albertson's over priacy concerns a california-based pivacy advocacy grou is suing supermarket giant albertson's over alleged priacy violations involving is pharmacy customers.,2
"microsoft closes hotmail to outlook and outlook express users from today, new users of microsoft #39;s outlook and outlook express won #39;t be able to view hotmail emails for free. the company has announced that in future the service will only be available to subscribers of the msn premium services costing \$19.",3,"microoft closes hotmail to outlook and outlook express users from today, new uers of mcrosoft #39;s outlook and outlook express won #39;t be able to view hotail emails for free. the company has announced that in future the service will only be available to subscribers of the ms premium services costing \$19.",2
dino sucked in prey with its giraffe neck the fossil of a sea reptile with a neck twice as long as its body is solving the mystery of how some ancient reptiles used such unusually long appendages.,3,dio sucked in pry with its giraffe neck the fossl of a sea reptle wiwith neck twice as long as ititsody is solving the mystery of how some ancient repiles used such unusually long appendages.,0
"qantas wants better tax treatment mark colvin: qantas might have posted yet another record profit, but the national carrier #39;s boss, geoff dixon, claims earnings are being hampered by unfair subsidies for international carriers allowed to fly in and out of australia. ",2,"qantas wants better ax treatment mark colvin: qantas might have posted yet another record profit, but the national carrier #39;s boss, geoff dixon, claims arnings are being hampered y unair subsidie for international carriers allowed to fly in and out of australia. ",3
closing ceremonies host city athens bid a final farewell to the athletes and guests of the 2004 summer games with a spectacular party under a full moon.,1,closing ceremonies ost ciy athen bi a inal farewell to the athletes and guests of the 2004 summer games with a spectacular party under a full moon.,0
"ky. company wins grant to study peptides (ap) ap - a company founded by a chemistry researcher at the university of louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",3,"ky. company wins grant to stdy peptides (p) a - a company founded by a chemstry researher at the university of louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",2
"pm to discuss strategic partnership prime minister manmohan singh arrived on tuesday for the first major diplomatic foray that includes talks with us president george w bush, pakistan president pervez musharraf and address to the un general assembly.",0,"pm to discuss strategic partnership prime minister manmohan singh arived on tuesday for the first major diplomtic foray that includes talks with us president george w bush, pakistan president pevez musharaf and address to the un general asembly.",2
"lockheed to launch rocket; boeing gets new date (reuters) reuters - lockheed martin corp. on monday\announced that it will launch its atlas v rocket on dec. 17 as\planned, while boeing co. waited to reschedule a launch of its\delta iv heavy-lift rocket that it was forced to abandon on\sunday.",3,"lockhed to aunch rocket; boeing gets new date (reuters) reuters - lockhee marti corp. on monday\announced that it will lunch its atlas v rocket on dec. 17 as\planned, while boeing co. waited to reschedule a launch of its\delta iv heavy-lift rocket that it was forced to abandon on\sunday.",0
"siemens in 2.69bn deal with bbc german industrial giant siemens has signed a 2.69bn contract to deliver technology services around the world to the bbc, a deal that will see it acquire the broadcasters technology subsidiary.",3,"sieens in 2.69bn deal with bb germn ininstrial giant siemens has signed a 2.29bn contract to deliver technoloy services around the world to the bbc, a deal that will see it acquire the broadcasters technolog subsidiary.",2
"steal spongebob, buy a pc museum we've got two more entries this week in the category of ""what weird, useless stuff is for sale on ebay that i just have to have?""",3,"teal spongebob, buy a c museum we've got two more entries this week in the caegory of ""wha weird, useless stuff is for sale on bay that i just have to have?""",2
"in taipei, talk of arms -- and amity premier yu shyi-kun hopes economic ties to the mainland will guarantee peace. if not,  quot;taiwan has to have to ability to defend itself quot;.",2,"in taipei, talk o arms -- and amity premir yu shyi-kun hopes eonomic ties to the mainlanandill garantee peace. if not,  qot;taiwan has to have to ability to defend itself quot;.",0
"card fraud unit nets 36,000 cards in its first two years, the uk's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",3,"car raud uit nets 36,000 cads in its first two years, the uk's dedicated cad fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",2
the great vegetarian scam ive written before about my struggle to remain a vegetarian on tuesday - when i abjure meat for religious reasons -hile travelling.,0,the great vegetarian scam ive ritten before about my struggle to remain a vegetarian on tuesdy - when i abjure meat for eligious reasons -hile travalini.,3
"hurricane center #39;s projection on charley not far off, data show fort lauderdale, fla. - (krt) - despite criticism that it should have better anticipated hurricane charley #39;s rapid intensification and quick turn, the national hurricane center #39;s forecast wasn #39;t that far off, a preliminary post-mortem shows. ",2,"hurricane center #39;s projection n charey ot far off, data sho for lauderdale, fla. - (krt) - despite criticism that it should have better anticipated hurricane charley #39;s rapid intensification and quick turn, the national hurricane center #39;s forecast wasn #39;t that far off, a preliminary post-mortem shows. ",3
"google unveils scholar search tool jacksonville, fl -- the online search engine leader google has unveiled a new tool for scholarly research. the new service is aimed at making better sense of all the scholarly work stored on the web and it ",3,"googl unveils scholar search tool jacksonville, fl -- the online search enine leader google has unveiled a new tool for scholarly research. the new servic is aimed at making better sense of all the scholarly work stred on the eb and it ",2
"will itunes ever make a lot of money for apple? on its latest earnings call (7/14/04), a question was asked about the profitability of itunes, and management responded by stating that it made just a small profit.",3,"will ituns ever make a ot of money or appe? on its latest earnings call (7/14/04), a question was asked about the profitability of iunes, and management responded by stating that it made just a small profit.",2
"us may have new case of mad cow disease  washington (reuters) - a final test is likely to confirm a  second u.s. case of mad cow disease, experts said on thursday,  though they see a small possibility the animal, which tested  ""inconclusive"" in two preliminary tests, could be given a clean  bill of health.",2,"s ay have new case of mad cw disease  washinton (reutrs) - a final test is likely to confirm a  second u.s. case of mad cow disease, experts said on thursday,  though they see a small possibility the animal, which tested  ""inconclusive"" in two preliminary tests, could be given a clean  bill of health.",3
"ipod plus photo-viewing now it looks as if an additional function, coupled with a definitely major enhancement, will further boosts its popularity - and apple #39;s profits.",3,"iod pus phot-viewing now it looks as if an additional functio, coupled with a definitely major enhancement, will further boosts its popularity - and aple #39;s profits.",2
"icing call out of money, out of patience, out of time, and for the foreseeable future, out of business.",2,"icing call out of oney, out of atience, out of time, and for th foreseeable fuure, out of busines.",3
"turkey unlikely to join eu before 2015: commissioner verheugen (afp) afp - turkey is unlikely to join the european union before 2015, eu enlargement commissioner guenter verheugen said in an interview.",2,"turkey unlikely to join eu before 015: commissioner verheuen (afp) afp - trkey is unlikely to join the european union before 2015, eu enlargement comissioner guenter verhugen said in an interview.",0
"indiana university suffers during peoplesoft rollout problems during the rollout of a peoplesoft financial aid software module at the indiana university system caused problems for about 3,000 students just as classes were set to start.",3,"indiana university suffers during peoplesoft rolout roblems during the rollou of a peoplesoft financial aid software mdule at the indiana university sytem caused problems for about 3,000 students just as classes were set to start.",2
"westwood up for challenge the course is a back-breaking 7,800 yards long off the tips, the rough is up, it #39;s 100f out there, the greens are fast and firm and refusing to hold, and yesterday there was a tricky wind to contend with.",1,"westwod p fr challeng the couse is a back-breaking 7,800 yards long off the tips, the rough is up, it #39;s 100f out there, the greens are fast and firm and refusing to hold, and yesterday there was a tricky wind to contend with.",2
"'dream team' out of gold race after loss to argentina  athens (reuters) - the u.s. men's basketball team was  beaten by argentina friday, denying it an olympic gold medal  for the first time since 1992 when nba players started  competing.",1,"'dream team' out o gold race after loss to argentina  athes (euters) - the u.s. men's basketball team was  beaten by argentina fridy, denying it an olympic gold medal  for the first time since 1992 when nba playrs started  competing.",0
"matsushita unveils dvd recorders, eyes higher share  tokyo (reuters) - panasonic brand products maker matsushita  electric industrial unveiled five new dvd recorders on  wednesday and said it was aiming to boost its share of the  domestic market to over 40 percent from around 35 percent.",3,"matsushita unveils dv ecorders, eyes higher share  tokyo (euters) - panasnic brand products maker matsushita  electric industrial unveiled five new dvd ecorders on  wednesday and said it was aiming to boost its share of the  domestic market to over 40 percent from around 35 percent.",2
