turkey eyes \$15 billion investment years ankara: turkey is hoping to attract \$15 billion of foreign investment between 2005 and 2007 through reforms designed to overhaul its economy and ease the country #39;s entry into ,2,turkey yes \$15 billio investmet ears ankaa: turkey is hoping to attract \$15 billion of foreign investment between 2005 and 2007 through reforms designed to overhaul its economy and ease the country #39;s entry into ,0
"profit jumps at motorola, but shares trade lower ot quot; gt; motorola, the world #39;s second-largest maker of cellphones, said yesterday that its profit more than quadrupled in the third quarter and revenue jumped 26 percent compared with the quarter ",3,"profit jums t otorola, but shares trade lower ot quo; gt; motorola, th world #39;s second-largest maker of cellphones, said yesterday that its profit more than quadrupled in the third quarter and revenue jumped 26 percent compared with the quarter ",2
"gm protests spread across europe tens of thousands of general motors workers across europe were set to stop working on tuesday in a sign of solidarity with their german colleagues, who face massive job cuts.",2,"g proests spread across europ ens o thousands of general motors workers across europe were set to stop working on tuesday in a sign of solidarity with their german colleagues, who face massive job cuts.",0
"flight from keys begins as gusts whip jamaica as hurricane ivan began to lash jamaica with wind and rain, officials in florida stepped up their evacuation efforts.",2,"light from keys begins as gusts whip jamaica as hurricane ivan began to lash jamaica with wind and rain, officias in lorida stepped up their evacuaton effort.",3
"child abuse leads to adult heart disease by ed edelson, healthday reporter    healthdaynews -- children who are abused or neglected grow up to be adults with a significantly greater risk of heart disease, a new study says.    it's the first study to show a direct link between a wide range of childhood problems and ischemic heart disease -- blockage of the arteries that leads to heart attacks and other major problems, said maxia dong, a medical epidemiologist at the u.s...",3,"child abuse leads to adult heart disease y ed edelson, heathday reporter    healthdynews -- children who re abused or neglected row up to be adults with a significantly greater risk of heart disease, a new study says.    it's the first study to show a direct link between a wide range of childhood problems and ischemic heart disease -- blockage of the arteries that leads to heart attacks and other major problems, said maxia dong, a mediced epidemiologist at the u.s...",0
"michigan regulators allow sbc to charge more for use of its &lt;b&gt;...&lt;/b&gt; state regulators unanimously voted tuesday to allow sbc communications inc. to charge competitors more to use its network, but it was unclear when, or if, that increase would be felt ",3,"micigan reglators allow sbc to chare more fr ue of its &lt;b&gt;...&lt;/b&gt; state regulators unanimously voted tuesday to allow sbc communications inc. to charge competitors more to use its network, but it was unclear when, or if, that increase would be felt ",2
"china, singapore say world must help calm taiwan row china and singapore on monday urged the international community to help calm beijing #39;s dispute with taiwan over its push for independence.",0,"chna, singapoe sy world mut hel calm taiwan row china and singapore on monday urged the international community to help calm beijing #39;s dispute with taiwan over its push for independence.",1
"reports: china will see more shortages shortages of coal and electricity are expected to fail to keep up with demand this winter, state media reported monday. the national power regulatory commission reported high demand for virtually every region ",2,"reports: hina wil se mre shortages shortages of coal and electriciy are expected to fail to keep up with demand this winter, state media reported monday. the national power regulatory commission reported high demand for virtually every region ",1
"u.s. wants to lease swedish submarine (ap) ap - the united states wants to lease a swedish attack submarine for naval exercises in the baltic sea in a deal possibly worth tens of millions of dollars, defense officials said sunday.",0,"u.s. wans to lease swedish submarine (p) ap - the united stats wants to lease a swedish attack submarine for naval exercises in the baltic sea in a deal possibly worth tens of millions f dollars, defense officials said sunday.",1
"thomson joins microsoft-time warner deal (ap) ap - french technology company thomson sa said monday it was joining microsoft corp. and time warner inc.'s proposed venture to make anti-piracy software, a move that could relieve european union concerns about the pending deal.",3,"thomson joins microsot-time warne deal (a) a - french technoogy company thomson sa said monday it was joining microsoft corp. and time warner inc.'s proposed venture to make anti-piracy software, a move that could relieve european union concerns about the pending deal.",2
"blackrock to buy state street research from metlife new york, august 26 (new ratings) - blackrock inc (blk.nys), a leading us-based fixed-income asset management company, has reportedly agreed to buy state street research  amp; management company, a unit of metlife inc, for \$375 million in a cash and stock ",2,"blackrock o buy tate stree research from metlie new ork, august 26 (new ratings) - blackrock inc (blk.nys), a leading us-based fixed-income asset management company, has reportedly agreed to buy state street research  amp; management company, a unit of metlife inc, for \$375 million in a cash and stock ",3
"blockbuster revamps its policy for late returns new york -- faced with growing competition in the home video market, blockbuster addressed its no. 1 consumer complaint tuesday, saying it will end late fees on rented videos and games in january.",2,"blockbuter revamps is policy for late returns ne york -- face with growng competition in the home video market, blockbuster addressed its no. 1 consumer complaint tuesday, saying it will end late fees on rented videos and games in january.",1
"eu draft draws fire in turkey brussels: turkey will have to recognize the republic of cyprus, if only tacitly, if it wants to begin membership negotiations with the european union, according to a draft document that was leaked here monday.",0,"eu draft daws fire in urkey brssels: turke wll have to recognize the republic of cyprus, if only tacitly, if it wants to begin membership negotiations with the european union, according to a draft document that was leaked here monday.",2
"at least five dead in russia mine blast (reuters) reuters - at least five miners were killed and 14\injured in a blast in a coal mine in russia's siberia, the\emergencies ministry said on thursday.",0,"t least fiv ded n russia mine last (reuters) reuters - at least five miners were killed and 14\injured in a blast in a coal mine in russia's siberia, the\emergencies ministry said on thursday.",3
"update 4-court #39;s cards ruling to aid mbna, american express the supreme court on monday let stand a ruling that the visa and mastercard credit card associations violated us antitrust law by barring ",2,"updae 4-court #39;s cards rling to ad mbna, american express the supreme court on monday let stand a ruling that the visa and masterard credit card associations violated us antitrust law by barring ",1
"2004 signals more global warming, extreme weather: un (reuters) reuters - global warming is set to continue, and\bring with it an increase in extreme weather such as hurricanes\and droughts, scientists from the united nations' world\meteorological organization warned on wednesday.",3,"200 signals more global wrming, extree weather: un (reutrs) reutes - global warming is set to continue, and\bring with it an increase in extreme weather such as hurricanes\and droughts, scientists from the united nations' world\meteorological organization warned on wednesday.",0
"constellation brands offers \$1.3 billion for mondavi (update1) constellation brands inc., the world #39;s largest winemaker, offered \$1.3 billion in cash to acquire robert mondavi corp., maker of lower-price woodbridge wines.",2,"constellatin brands offers \$1.3 billio fr mondai (update1) constellation brands inc., the world #39;s largest winemaker, offered \$1.3 billion in cash to acquire robert mondavi corp., maker of lower-price woodbridge wines.",3
bush backs us tariffs on shrimp foreign shrimp producers have denied they are selling shrimp at artificially low prices as a way to win a larger share of the us market.,2,ush bacs s triffs on shrimp foreign shrimp producers have denied they are selling shrimp at artificially low prics as a way to win a larger share of the us market.,1
socceroos lead at break the socceroos lead the solomon islands 4-0 at half-time in their confederations cup qualifier in honiara. a double from midfielder josip skoko and strikes to ante milicic and the impressive brett emerton have ,1,socceroos lea t break the socceroos led the solmon islnds 4-0 at half-time in their confederations cup qualifier in honiara. a double from midfielder josip skoko and strikes to ante milicic and the impressive brett emerton have ,2
"eu to lift u.s. sanctions jan. 1  brussels (reuters) - the european commission is sticking  with its plan to lift sanctions on \$4 billion worth of u.s.  goods on jan. 1 following washington's repeal of export tax  subsidies in october, a spokeswoman said on thursday.",2,"eu to lift u.s. sanctions ja. 1  brussels (reuers) - te european commission is sticking  with its plan to lift sanctions on \$4 billion worth of u.s.  goods on jan. 1 following washington's repeal of export tax  subsidies in october, a spokeswoman said on thursday.",0
"sony goes oled with japanese clie peg-vz90 despite pulling out of the us and european markets, sony #39;s clie line is still kicking in japan, and is now kicking with an oled display.",3,"sny goes old with japanese clie peg-vz90 despite pulling out of the us and european markets, sony #39;s clie line is still kiking i japan, and is now icking with an oled display.",2
u.s. impressive in world cup qualifying (ap) ap - just because the united states has stormed through its regional qualifying for the next world cup does not mean the americans are a world soccer power.,1,u.s. impressive n wold cu qualifyin (ap) a - just because the united states has stormed through its regional qualifying for the next world cup does not mean the americans are a world soccer power.,0
"greenland criminals take road back to society, not prison (afp) afp - some 20 people gather for a lunch of whale meat and potatoes inside a large wooden building facing a frozen fjord bathed in sunlight. no, these are not tourists on vacation, but rather criminals serving time in one of greenland's open penal centers.",2,"greenland criminals tak road bck to ociety, not prisn (afp) fp - some 20 people gather for a lunch of whale meat and potatoes inside a large wooden building facing a frozen fjord bathed in sunlight. no, these are not tourists on vacation, but rather criminals serving time in one of greenland's open penal centers.",3
"usa: smithfield foods reports higher q2 earnings us meat processor smithfield foods has reported higher second-quarter earnings, as higher hog prices offset lower pork margins and a loss in its beef operations.",2,"sa: mithfield oods reports hiher q2 earning us meat processor smithfield foods has reported higher second-quarter earnings, as higher hog prices offset lower pork margins and a loss in its beef operations.",1
